id_peminjaman,id_anggota,id_buku,tanggal_pinjam,tanggal_kembali
1,1,3,2025-11-01,2025-11-08
2,2,1,2025-11-02,2025-11-09
3,3,5,2025-11-03,2025-11-10
4,4,2,2025-11-04,2025-11-11
5,5,6,2025-11-05,2025-11-12
6,6,4,2025-11-06,2025-11-13
7,7,7,2025-11-07,2025-11-14
8,8,9,2025-11-08,2025-11-15
9,9,8,2025-11-09,2025-11-16
10,10,10,2025-11-10,2025-11-17
11,11,12,2025-11-11,2025-11-18
12,12,11,2025-11-12,2025-11-19
13,13,13,2025-11-13,2025-11-20
14,14,14,2025-11-14,2025-11-21
15,15,15,2025-11-15,2025-11-22
